=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.05.28 11:27:13 =~=~=~=~=~=~=~=~=~=~=~=
CO2(ppm):583,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:583
CO2(ppm):408,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:408
CO2(ppm):408,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:408
CO2(ppm):408,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:408
CO2(ppm):408,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:408
CO2(ppm):408,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:408
CO2(ppm):408,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:408
CO2(ppm):408,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:408
CO2(ppm):407,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:407
CO2(ppm):407,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:407
CO2(ppm):407,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:407
CO2(ppm):407,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:407
CO2(ppm):407,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:407
CO2(ppm):407,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:407
CO2(ppm):408,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:407
CO2(ppm):408,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:407
CO2(ppm):408,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:407
CO2(ppm):408,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:407
CO2(ppm):407,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:407
CO2(ppm):408,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:407
CO2(ppm):408,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:407
CO2(ppm):408,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:407
CO2(ppm):408,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:407
CO2(ppm):408,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:407
CO2(ppm):408,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:407
CO2(ppm):408,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:407
CO2(ppm):408,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:407
CO2(ppm):408,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:407
CO2(ppm):409,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:407
CO2(ppm):409,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:407
CO2(ppm):411,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:407
CO2(ppm):411,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:407
CO2(ppm):409,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:407
CO2(ppm):411,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:407
CO2(ppm):412,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:407
CO2(ppm):411,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:407
CO2(ppm):413,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:407
CO2(ppm):413,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:407
CO2(ppm):413,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:407
CO2(ppm):418,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:407
CO2(ppm):417,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:407
CO2(ppm):418,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:407
CO2(ppm):425,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:407
CO2(ppm):428,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:407
CO2(ppm):422,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:407
CO2(ppm):425,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:407
CO2(ppm):423,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:407
CO2(ppm):424,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:407
CO2(ppm):424,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:407
CO2(ppm):427,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:407
CO2(ppm):423,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:407
CO2(ppm):425,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:407
CO2(ppm):420,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:407
CO2(ppm):409,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:407
CO2(ppm):408,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:407
CO2(ppm):407,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:407
CO2(ppm):406,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:406
CO2(ppm):403,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:403
CO2(ppm):403,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:403
CO2(ppm):404,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:403
CO2(ppm):403,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:403
CO2(ppm):403,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:403
CO2(ppm):402,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:402
CO2(ppm):402,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:402
CO2(ppm):403,Temperature(C):21,Maximum_CO2:583,Minimum_CO2:402
